NTA Experiment Summary File,,,,,
Created with NTA 3.2 Dev Build 3.2.16,,,,,
,,,,,
[Experiment Details],,,,,
Software Version,NTA 3.2 Dev Build 3.2.16,,,,
Experiment Name,20181220 ATCC90028 C1 1 in 1500 2018-12-20 13-59-21.nano,,,,
Sample Name,ATCC90028 C1 1uL in 1500uL,,,,
Operator Name,Charlotte,,,,
Time Captured,20/12/2018 13:59,,,,
Pre-treatment,,,,,
Diluent,0.22 um filtered PBS,,,,
Remarks,,,,,
,,,,,
Filename:,20181220 ATCC90028 C1 1 in 1500 2018-12-20 13-59-43,20181220 ATCC90028 C1 1 in 1500 2018-12-20 14-00-50,20181220 ATCC90028 C1 1 in 1500 2018-12-20 14-01-56,,
,,,,,
[Conditions],,,,,
Temperature/C,25.025,25.021,25.017,,
Viscosity/cP,0.888186,0.888267,0.888348,,
Camera Type,sCMOS,sCMOS,sCMOS,,
Laser Type,Blue405,Blue405,Blue405,,
Camera Level,11,11,11,,
Slider Shutter,890,890,890,,
Slider Gain,146,146,146,,
Shutter/ms,22.25,22.25,22.25,,
Camera Histogram Upper Limit,16380,16380,16380,,
Camera Histogram Lower Limit,0,0,0,,
Frame rate/fps,24.9825,24.9825,24.9825,,
Syringe Pump Speed/AU,70,70,70,,
,,,,,
[Settings],,,,,
Detection Threshold,6,6,6,,
Max Jump Mode,Auto,Auto,Auto,,
Max Jump Distance,11.6158,12.5277,11.2974,,
Blur,Auto,Auto,Auto,,
Min Track Length,Auto,Auto,Auto,,
First frame,0,0,0,,
Total frames analysed,1498,1498,1498,,
,,,,,
[Exclusion Regions],,,,,
No Exclusion Regions Used,,,,,
,,,,,
[Results],,,,Average,Standard Error
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,,
Concentration (Particles / ml),9.43E+08,9.98E+08,9.06E+08,9.49E+08,2.67E+07
Concentration Upgrade?,Yes,Yes,Yes,,
Particles per frame,33.8,33.9,32.3,33.3,0.5
Centres per frame,35.2,34.9,34.1,34.8,0.3
Completed tracks,5226,5152,5137,,
X-Drift (pix/frame),5.3,5.4,5.4,,
Y-Drift (pix/frame),0.2,0.2,0.2,,
,,,,,
[Concentration Warnings],,,,,
Validity of concentration measurement,OK,OK,OK,,
Completed Tracks,OK,OK,OK,,
Particles per frame,OK,OK,OK,,
Noise level,No,No,No,,
Brightness,OK,OK,OK,,
Detection Threshold,OK,OK,OK,,
Camera Histogram Lower Limit,OK,OK,OK,,
,,,,,
[Information],,,,,
Completed Tracks,OK,OK,OK,,
Concentration,OK,OK,OK,,
Video length,OK,OK,OK,,
Noise level,No,No,No,,
Vibration detected,No,No,No,,
Vibration correction applied,No,No,No,,
Settings changed?,No,No,No,,
Errors (1),,,,,
Errors (2),,,,,
,,,,,
[Data Included],,,,,
Size distribution - Number weighting - With Percentiles,,,,,
,,,,,
[Size Data],,,,,
Analysis Method,FTLA,,,,
Weighting,Number,,,,
Filename,ATCC90028_01_1500_01,ATCC90028_01_1500_02,ATCC90028_01_1500_03,Average,Standard Error
Mean,200.4,191.6,199.4,197.1,2.8
Mode,130.8,132.1,143.4,135.4,4
SD,91.7,82.9,86.8,87.1,2.5
D10,125.2,114.2,127.7,122.4,4.2
D50,176.6,169.8,161.7,169.4,4.3
D90,303.8,291.8,308.4,301.4,5
Valid Tracks,1424,1492,1363,,
Graph Data,,,,,
Bin centre (nm), Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error
0.5,0,0,0,0,0
1.5,0,0,0,0,0
2.5,0,0,0,0,0
3.5,0,0,0,0,0
4.5,0,0,0,0,0
5.5,0,0,0,0,0
6.5,0,0,0,0,0
7.5,0,0,0,0,0
8.5,0,0,0,0,0
9.5,0,0,0,0,0
10.5,0,0,0,0,0
11.5,0,0,0,0,0
12.5,0,0,0,0,0
13.5,0,0,0,0,0
14.5,0,0,0,0,0
15.5,0,0,0,0,0
16.5,0,0,0,0,0
17.5,0,0,0,0,0
18.5,0,0,0,0,0
19.5,0,0,0,0,0
20.5,0,0,0,0,0
21.5,0,0,0,0,0
22.5,0,0,0,0,0
23.5,0,0,0,0,0
24.5,0,0,0,0,0
25.5,0,0,0,0,0
26.5,0,0,0,0,0
27.5,0,0,0,0,0
28.5,0,0,0,0,0
29.5,0,0,0,0,0
30.5,0,0,0,0,0
31.5,0,0,0,0,0
32.5,0,0,0,0,0
33.5,0,0,0,0,0
34.5,0,0,0,0,0
35.5,0,0,0,0,0
36.5,0,0,0,0,0
