"GO ID"	"GO name"	"GO namespace"	"Gene ID(s)"	"Exact p-value"	"Adjusted p-value"	"# genes / category"	"# genes / input"
"GO:0031505"	"fungal-type cell wall organization"	"BP"	"BGL2 | GSC1 | PHR2"	"0.0004656989"	"0.003991705"	"3 / 108"	"3 / 9"
"GO:0009405"	"pathogenesis"	"BP"	"BGL2 | CaO19.4937 | GSC1 | PHR2"	"0.001219217"	"0.008128115"	"4 / 350"	"4 / 9"
"GO:0044010"	"single-species biofilm formation"	"BP"	"YWP1"	"0.001529052"	"0.009174312"	"1 / 1"	"1 / 9"
"GO:0030445"	"yeast-form cell wall"	"CC"	"BGL2 | PHR2 | YWP1"	"0.0000317367"	"0.0006347341"	"3 / 44"	"3 / 9"
"GO:0005886"	"plasma membrane"	"CC"	"GSC1 | HGT7 | MIR1 | PHR2 | YCK2"	"0.00005141168"	"0.0007711751"	"5 / 324"	"5 / 9"
"GO:0016020"	"membrane"	"CC"	"GSC1 | HGT7 | MIR1 | PHR2 | YKT6 | YWP1"	"0.0002183881"	"0.00237442"	"6 / 732"	"6 / 9"
"GO:0009277"	"fungal-type cell wall"	"CC"	"BGL2 | PHR2 | YWP1"	"0.000237442"	"0.00237442"	"3 / 86"	"3 / 9"
"GO:0009986"	"cell surface"	"CC"	"BGL2 | PHR2 | YWP1"	"0.0007844196"	"0.005883147"	"3 / 129"	"3 / 9"
"GO:0042123"	"glucanosyltransferase activity"	"MF"	"BGL2 | PHR2"	"0.00000623078"	"0.0003738468"	"2 / 3"	"2 / 9"
"GO:0042124"	"1,3-beta-glucanosyltransferase activity"	"MF"	"BGL2 | PHR2"	"0.00003107983"	"0.0006347341"	"2 / 6"	"2 / 9"
