"GO ID"	"GO name"	"GO namespace"	"Gene ID(s)"	"Exact p-value"	"Adjusted p-value"	"# genes / category"	"# genes / input"
"GO:0044406"	"adhesion of symbiont to host"	"BP"	"ECM33 | SAP9 | YWP1"	"0.0000050334"	"0.00011577"	"3 / 48"	"3 / 5"
"GO:0031505"	"fungal-type cell wall organization"	"BP"	"ECM33 | GSC1 | SAP9"	"0.000058502"	"0.00033639"	"3 / 108"	"3 / 5"
"GO:0044010"	"single-species biofilm formation"	"BP"	"YWP1"	"0.00084947"	"0.0030058"	"1 / 1"	"1 / 5"
"GO:0009405"	"pathogenesis"	"BP"	"ECM33 | GSC1 | SAP9"	"0.0019054"	"0.0058433"	"3 / 350"	"3 / 5"
"GO:0052155"	"modulation by symbiont of host cell-mediated immune response"	"BP"	"SAP9"	"0.0025467"	"0.0073217"	"1 / 3"	"1 / 5"
"GO:0006754"	"ATP biosynthetic process"	"BP"	"PMA1"	"0.0050882"	"0.011703"	"1 / 6"	"1 / 5"
"GO:0006075"	"(1->3)-beta-D-glucan biosynthetic process"	"BP"	"GSC1"	"0.0050882"	"0.011703"	"1 / 6"	"1 / 5"
"GO:1902600"	"hydrogen ion transmembrane transport"	"BP"	"PMA1"	"0.0093125"	"0.019472"	"1 / 11"	"1 / 5"
"GO:0000902"	"cell morphogenesis"	"BP"	"ECM33"	"0.01688"	"0.031059"	"1 / 20"	"1 / 5"
"GO:0098655"	"cation transmembrane transport"	"BP"	"PMA1"	"0.021064"	"0.037268"	"1 / 25"	"1 / 5"
"GO:0006812"	"cation transport"	"BP"	"PMA1"	"0.024401"	"0.041573"	"1 / 29"	"1 / 5"
"GO:0009986"	"cell surface"	"CC"	"ECM33 | PMA1 | SAP9 | YWP1"	"0.0000010831"	"0.000049821"	"4 / 129"	"4 / 5"
"GO:0005618"	"cell wall"	"CC"	"ECM33 | SAP9 | YWP1"	"0.000019515"	"0.00027134"	"3 / 75"	"3 / 5"
"GO:0016020"	"membrane"	"CC"	"ECM33 | GSC1 | PMA1 | SAP9 | YWP1"	"0.000029393"	"0.00027134"	"5 / 732"	"5 / 5"
"GO:0009277"	"fungal-type cell wall"	"CC"	"ECM33 | SAP9 | YWP1"	"0.000029493"	"0.00027134"	"3 / 86"	"3 / 5"
"GO:0031225"	"anchored component of membrane"	"CC"	"ECM33 | SAP9 | YWP1"	"0.00003855"	"0.00028351"	"3 / 94"	"3 / 5"
"GO:0005886"	"plasma membrane"	"CC"	"ECM33 | GSC1 | PMA1 | SAP9"	"0.000043143"	"0.00028351"	"4 / 324"	"4 / 5"
"GO:0046658"	"anchored component of plasma membrane"	"CC"	"ECM33 | SAP9"	"0.00010903"	"0.00051337"	"2 / 20"	"2 / 5"
"GO:0005576"	"extracellular region"	"CC"	"ECM33 | SAP9 | YWP1"	"0.0001116"	"0.00051337"	"3 / 134"	"3 / 5"
"GO:0030445"	"yeast-form cell wall"	"CC"	"ECM33 | YWP1"	"0.00053845"	"0.0022517"	"2 / 44"	"2 / 5"
"GO:0030446"	"hyphal cell wall"	"CC"	"ECM33 | YWP1"	"0.0010697"	"0.0035148"	"2 / 62"	"2 / 5"
"GO:0000148"	"1,3-beta-D-glucan synthase complex"	"CC"	"GSC1"	"0.0033944"	"0.0086747"	"1 / 4"	"1 / 5"
"GO:0045121"	"membrane raft"	"CC"	"PMA1"	"0.0084688"	"0.018551"	"1 / 10"	"1 / 5"
"GO:0008553"	"hydrogen-exporting ATPase activity, phosphorylative mechanism"	"MF"	"PMA1"	"0.00084947"	"0.0030058"	"1 / 1"	"1 / 5"
"GO:0003843"	"1,3-beta-D-glucan synthase activity"	"MF"	"GSC1"	"0.0033944"	"0.0086747"	"1 / 4"	"1 / 5"
"GO:0019829"	"cation-transporting ATPase activity"	"MF"	"PMA1"	"0.014363"	"0.027529"	"1 / 17"	"1 / 5"
"GO:0004190"	"aspartic-type endopeptidase activity"	"MF"	"SAP9"	"0.014363"	"0.027529"	"1 / 17"	"1 / 5"
"GO:0016787"	"hydrolase activity"	"MF"	"PMA1 | SAP9"	"0.028153"	"0.046251"	"2 / 331"	"2 / 5"
